Yield_stress(MPa),Bending_strength(GPa)
176.42999787601053,268.15322800513366
166.8002730971205,275.82437219178377
163.4120410110071,247.11729236165183
152.38642200649582,230.38147690446766
181.3467879459206,289.5383267198129
153.5813781938171,270.9429646370124
165.45318448835744,282.0429750841125
147.86911164102526,266.75964883456794
133.2562574709879,244.55957585368583
163.4120410110071,259.2037464313182
161.8181707226134,274.3121395601622
175.7003695324946,257.3441998057018
173.77380538987262,259.4358446852536
159.95743983505815,273.8470315353606
157.6992683920447,267.57209689670526
154.2461556460091,287.9100449612237
173.24270382819708,267.3399986427699
96.32591494903095,159.13710524247986
81.37996504868877,149.95729636190896
90.87897591258987,152.16410489483846
94.398904277435,167.73843943539225
71.6824720558447,106.60601991080378
79.9187436341713,129.49894993249566
91.74175919615259,160.53245536022553
81.57995049184422,160.06815467899125
94.33256495619774,150.07167871506024
73.47583660552246,133.21892865731843
76.33198476621752,126.71095820445598
87.95650331495668,150.3037769689956
83.35722511415885,154.07662367580772
69.75642886369242,123.92208100282636
76.33198476621752,142.28701160550796
95.46167300415317,193.18986726527658
87.95650331495668,169.83018848830758
77.46104816127556,125.6655785014751
121.56590566718201,185.1714351279725
132.59293868011096,199.93165483257258
127.87613405335634,179.2429810964038
146.80632803000793,248.97683898726822
145.0797790991397,237.2375426515514
156.5716487740026,246.88420446076293
152.38642200649582,230.1493786505323
141.0940614772161,219.22430132413274
136.51038202191,218.41008231481547
159.95743983505815,308.9468921216364
157.23495268058042,301.85609774318823
143.0869202881779,223.29143778290506
133.2562574709879,214.80703819055034
139.30019086136778,206.4387918985268
137.839936926294,204.34792831920146
144.4154928288191,210.85595085874567
106.42190528257171,173.2010301852738
144.5476654051231,263.969078815781
125.28580459088346,198.07221238031968
147.0063134731634,275.9404213187514
144.4154928288191,289.189267821979
146.14302412343014,282.56444089858155
71.48297779456065,123.11057050096076
91.74175919615259,163.32133256185514
81.97792688207124,132.28871260771524
59.59313172947072,93.70623230541008
77.46104816127556,154.48784802832563
85.89682888518534,142.16929570472385
76.73043745401682,118.22739199900946
48.89917956254747,88.82310589014054
54.80363218574891,104.72511774566459
50.22775210318868,103.46717229440938
43.120097390946086,98.47065317294206
59.460453086996196,101.7237789691242
57.6436755347817,97.93473330428384
49.89610014989977,93.12333024980177
55.275762154258196,114.27630466720478
43.851199280076216,79.75752310267563
48.567036427387166,98.70280351355919
29.23834511003888,41.98488652841968
39.99911289577165,88.70617128958287
26.81823249245477,58.57397380307782
27.312331686484853,67.20682043845676
23.460245302180297,44.193413921847366
16.551563900752086,36.98920079386056
40.79509544482398,76.38840026620755
23.7914060735978,59.88296420246064
88.42032784454958,162.15896617163483
72.74571708013514,139.38119980332067
80.64935434143004,144.2617218845021
84.50193190760601,144.14562067085265
75.73402293283505,132.52081086165063
90.41320153981052,153.90671691989724
50.82863125920129,80.43261858500426
59.19466415737229,94.51862828086567
60.98851988892145,107.99954699468773
66.63397082290378,101.95754399687598
43.186913009755614,69.76354729946922
46.97315125469432,79.99139230379092
133.85420442007126,220.03664521290654
119.57350826949333,199.00149086965115
136.84399870268447,223.0593395289697
122.16432891383762,196.44387853504867
123.22708275625665,181.33639692313554
117.84596209058317,185.75267040976442
136.0465574923171,214.45810950942084
113.26231240387534,172.38774873622827
124.62150343626372,215.62037172627763
105.75811019412252,163.7863624566341
116.11942804401406,193.18986726527658
112.20052604089997,175.7577570462863
115.78777609072516,200.1629717862815
146.60686353732217,248.16251580458743
92.47238478771045,119.39059177613797
133.12311741524024,183.89223831055804
139.36702136447644,207.4850049884159
141.75833286323757,209.57753534155768
130.6654368266436,207.25290673448055
138.90219958684162,204.69617987346805
136.84399870268447,222.59425754750902
133.98588581450383,210.50681383088912
138.57005645168132,230.96260801289606
141.02773704027794,225.38407230941036
142.4226340178573,244.09537934581508
156.2390144569709,273.2658743835913
145.7435741875889,262.80679055558335
149.3308242374141,250.02305207715733
137.57411822807182,222.36127381998367
139.1680182850638,230.03244404997463
140.36440336510188,221.43277663087864
126.48169848905015,199.11748790993707
145.34510661549047,245.0255433087365
134.18587125765927,194.93336476392528
113.9929379954332,180.19028157762523
123.15977595557572,203.41776435628003
155.84053200057335,253.16091004659825
156.2390144569709,252.6958280651375
148.60019864585624,226.31335079874182
151.92064763371644,254.09018853592968
146.80632803000793,232.1240889295264
141.02773704027794,228.6371981055925
137.90675254510353,232.58995221121359
121.36641140589796,227.4756130155986
119.04190064164726,206.20658947122791
124.28985148297483,231.19470626683142
111.78497129339648,216.57017236822367
146.54053910038402,246.65210620682757
123.69139846772094,222.36127381998367
154.4456201386949,256.53008496974803
141.0940614772161,245.60589311693846
137.70725828381947,233.86659678122163
140.43026638876688,256.4140358427804
143.15421220455968,226.89458608053374
158.2318732679327,274.8941561421806
125.48381042225418,216.3184374352637
131.86085442723802,237.0053402242525
169.4564358146601,297.0925102625645
155.10895381387095,256.4140358427804
160.8880657540706,281.1699762544259
152.0542788713355,235.26194689896732
133.2562574709879,229.91639492300695
154.7767957944115,265.2473901596055
153.2497262405282,252.92792631907287
155.2420938696186,247.11729236165183
128.5399142575064,190.16894389639333
144.4154928288191,230.1493786505323
131.72868185093404,197.1411629438083
133.2562574709879,228.1728974243582
138.8358751499035,207.95008696987662
143.55220347908585,213.64477597369353
133.7878799831331,205.97459539065605
136.84399870268447,207.95008696987662
139.89813781045115,245.60589311693846
132.59293868011096,213.1805794658228
154.51148316235987,257.3441998057018
130.00113567202388,224.22082044560005
118.70925144031642,223.1753886559374
132.39345930312604,243.39720946346552
14.64064315651926,13.691661428234681
23.000290690362064,22.02761397756518
31.361932720288735,30.308771337681208
39.722562617874345,38.533779254856825
48.08417487920275,46.815040788336375
56.44483454538662,55.094635547999474
64.80549421157049,63.37423030766263
