Predicted_bending_strength(MPa),Bending_strength(MPa)
193.89657655126393,231.19479371447875
179.60232642897185,216.5514739038361
215.2816199967587,246.65214998876417
193.32989958135707,222.31184249885035
221.20929184595025,256.5301648766216
210.51631436480523,245.6059111669348
207.4944799286978,233.86672249861226
210.05120640922058,256.4149621925212
212.37583467034864,226.89450552639528
223.64910978665446,274.89417198570743
195.2901815577755,216.3185293106553
201.79893234223803,237.0054650074335
229.5758701190508,297.0924674123493
221.67182151117132,256.4149621925212
225.39172155237932,281.1699902300296
219.464961219983,235.2620331360489
203.19506355243914,229.9163785777959
221.44053063522378,265.2474739827102
220.39343222757293,252.92882766307963
221.67182151117132,247.11727089679846
198.54583307352004,190.1689393815378
213.42209969121532,230.14932317097671
201.79893234223803,197.1420027620815
203.19506355243914,228.17292066307814
208.54069286289047,207.95018133600811
212.72400804277774,213.64564994486253
203.77538723093699,205.97454710643686
206.68033917056286,207.95018133600811
209.4692159571544,245.6059111669348
202.4952790870962,213.18052903682823
221.20929184595025,257.3442794702637
200.05548718972898,224.22175637726818
187.73680648267768,223.17543942543944
202.38011545085703,243.39733234418273
230.5060860302201,54.65435660317547
229.34291246953487,55.6989416733511
228.2975068787894,49.77382295295678
222.9518775683381,59.535788748387176
232.3656063357635,43.26420068546054
232.3656063357635,42.56698159257212
231.90135781030003,46.868962597309064
231.0872170521651,48.958835907654816
231.90135781030003,48.49547292460676
11.70335478361784,10.215028640225455
26.279185465615427,24.842110432661627
40.85334937404468,39.47262994507088
55.371207587867616,54.10137851082732
69.94537149629687,68.73189802323657
84.51953540472611,83.360646588993
99.03739361854905,97.99116610140231
113.61322430054666,112.61824789383843
128.1873882089759,127.24522551294203
142.8161910384431,141.8757450253513
157.39035494687235,156.5079313110809
171.90816107402128,171.13667987683735
186.4823249824505,185.7655326159263
201.05648889087976,200.39428118168274
215.63065279930902,215.02480069409202
230.15189664694267,229.65521603316878
